date,OT,S_child,I_child,R_child,S_adult,I_adult,R_adult,S_total,I_total,R_total
1992-12-30,0.0,49231.621072231464,0.0,1450769.1432828838,608318.5191195178,0.0,2891682.9905625135,657550.1401917492,0.0,4342452.133845397
1993-01-01,40.0,1499980.0,20.0,0.0,3499980.0,20.0,0.0,4999960.0,40.0,0.0
1993-01-08,541.836747159703,1499584.7093189096,284.78352165293626,130.50715943708445,3499606.7169720186,257.0532255067667,136.2298024750837,4999191.426290928,541.836747159703,266.7369619121681
1993-01-15,8004.255168273814,1493311.5994592842,4520.3502891769795,2168.050251539568,3494692.773008165,3483.904879096834,1823.3221127383263,4988004.372467449,8004.255168273814,3991.372364277894
1993-01-22,114670.88433604361,1402701.3027625345,63555.18000962498,33743.51722784144,3422440.305498998,51115.704326418636,26443.990174582246,4825141.608261533,114670.88433604361,60187.50740242368
1993-01-29,824166.8034651794,785277.5566115073,395172.27545405866,319550.1679344348,2777750.065530147,428994.52801112074,293255.4064587324,3563027.622141654,824166.8034651794,612805.5743931672
1993-02-05,1143903.1119390028,200938.14084351965,367904.0834828742,931157.7756736072,1497391.0091244439,775999.0284561284,1226609.9624194282,1698329.1499679636,1143903.1119390028,2157767.7380930353
1993-02-12,615740.1316876701,83397.87516457227,142004.28592089302,1274597.8389145352,896037.5771556123,473735.8457667771,2130226.5770776104,979435.4523201846,615740.1316876701,3404824.4159921454
1993-02-19,253296.22357264993,58743.70715702982,46259.46975645039,1394996.8230865202,702190.6705864731,207036.75381619955,2590772.5755973263,760934.3777435028,253296.22357264993,3985769.3986838465
1993-02-26,95639.61284026754,51936.36338676257,14608.690895492422,1433454.9457177457,638098.9908022467,81030.92194477511,2780870.087252975,690035.3541890093,95639.61284026754,4214325.032970721
1993-03-05,34676.39710294126,49759.7088274816,4533.658753736055,1445706.6324187827,616144.7231023496,30142.738349205203,2853712.5385484416,665904.4319298312,34676.39710294126,4299419.170967224
1993-03-12,12257.090941393602,49059.001842695456,1483.272029754281,1449457.7261275505,608690.4799041642,10773.818911639322,2880535.7011841917,657749.4817468596,12257.090941393602,4329993.427311743
1993-03-19,4474.594162971602,48823.26164891973,478.86272384740096,1450697.875627233,605972.4105040608,3995.731439124201,2890031.8580568116,654795.6721529806,4474.594162971602,4340729.733684044
1993-03-26,1601.7885591007202,48755.69667010102,151.97908658100735,1451092.3242433174,605048.244805848,1449.809472519713,2893501.9457216295,653803.941475949,1601.7885591007202,4344594.269964946
1993-04-02,559.0344043841986,48730.250176230824,41.34163057735705,1451228.4081931908,604725.1586869764,517.6927738068416,2894757.148539214,653455.4088632072,559.0344043841986,4345985.556732405
1993-04-09,157.48956300230472,48723.59518554934,14.320508149471904,1451262.0843063009,604641.6688325308,143.16905485283283,2895215.162112613,653365.2640180802,157.48956300230472,4346477.246418914
1993-04-16,40.21779885319238,48716.16413013518,4.881647526246236,1451278.9542223387,604620.741527369,35.336151326946144,2895343.9223212996,653336.9056575042,40.21779885319238,4346622.876543638
